id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Window,-1.50735,1.32293808,-0.364812583,False,False,False,False,2.05099177,
2,SinkBasin,-3.0814,0.936,1.5373,True,False,False,False,0.8329462,
3,BathtubBasin,-0.1551032,0.0427340567,0.884408832,True,False,False,False,2.34632134,
4,Bathtub,-0.2051032,0.359734058,0.924408853,True,False,False,False,2.19238329,
5,Sink,-3.116,-0.013,1.531,True,False,False,False,1.25993645,
6,Mirror,-3.448,1.575,1.5168829,False,False,False,False,1.37438524,
7,BathTowel1,-1.304,1.0590961,-0.183600157,False,False,False,True,1.93758237,['TowelHolder|-01.30|+01.05|-00.29']
8,HandTowel1,-3.419338,1.338,2.102,False,False,False,True,1.38570786,['HandTowelHolder|-03.46|+01.46|+02.10']
9,Plunger_1,0.362,0.000617262,2.468,False,False,False,True,2.92768979,
10,BathTowelHolder1 (1),-2.05,1.045096,-0.290500164,True,False,False,False,1.80733991,
11,BathTowelHolder1,-1.304,1.045096,-0.290500164,True,False,False,False,2.03012156,
12,ToiletPaperHanger1,-0.426,0.784,2.278,True,False,False,False,1.98647773,
13,Soap_Bar_1,-0.6855477,0.6207396,1.9895947,False,False,False,True,1.6631614,['Bathtub|-00.21|+00.36|+00.92']
14,ToiletPaper,-2.307,0.775563061,3.898,False,False,False,True,2.401987,['Shelf|-02.59|+00.78|+03.91']
15,bin_1,-0.867,0.000617262,3.86,True,False,False,False,2.87994576,
16,Soap_Bottle_1,-3.405,1.02509809,1.294,False,False,False,True,1.179707,['Sink|-03.12|-00.01|+01.53']
17,Shelf (3),-2.5878,0.779,3.9098,True,False,False,False,2.436448,
18,Shelf (1),-2.5878,1.2878,3.942,True,False,False,False,2.4953177,
19,Shelf (2),-2.5878,1.0328,3.942,True,False,False,False,2.468741,
20,Shelf (4),-2.5878,1.53419757,3.9098,True,False,False,False,2.51424026,
21,HandTowelHolder1,-3.459,1.4589,2.0986,True,False,False,False,1.45964658,
22,HandTowelHolder1 (1),-3.459,1.4589,0.817,True,False,False,False,1.49624038,
23,ToiletPaperRoll,-2.358,1.028,3.921,False,False,False,True,2.426701,['Shelf|-02.59|+01.03|+03.94']
24,Cloth_1,-0.271,0.041,1.019,False,False,False,True,2.21098661,['Bathtub|-00.21|+00.36|+00.92|BathtubBasin']
25,Paper_Towel_1,-3.16796422,0.9682901,0.2793393,False,False,False,True,1.52876294,['Cart|-03.21|+00.00|+00.15']
26,Cart,-3.1900847,0.00240975618,0.148875117,True,False,False,False,1.87559855,
27,Candle_1,-3.17278457,0.22892189,-0.04329659,False,False,False,True,1.91984725,['Cart|-03.21|+00.00|+00.15']
28,Spray_Bottle_1,-3.15593719,0.0170430187,0.5179799,False,False,False,True,1.60235929,
29,Scrub_Brush_1,0.397,0.000617262,2.694,False,False,False,True,3.040402,
30,Dish_Sponge_1,-3.2118938,0.858637452,0.02503793,False,False,False,True,1.76141989,['Cart|-03.21|+00.00|+00.15']
31,Toilet1,0.063,0.002,3.097,True,False,True,False,2.951218,
32,LightSwitch1,-3.45933819,1.438,2.497,False,True,False,False,1.65656734,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,BathtubBasin,-3.405,0.166000009,2.904,True,False,False,False,1.63614833,
2,Cabinet (2),-0.124599993,0.364145935,4.634252,True,False,True,False,2.891369,
3,bin_2,-2.202,-0.000328551978,4.948,True,False,False,False,2.61635375,
4,SinkBasin,-0.5692,0.9866,4.886,True,False,False,False,2.7834456,
5,Bathtub,-2.89643812,0.667317748,2.86050034,True,False,False,False,0.9939895,
6,ShowerGlass,0.0,0.0,0.0,False,False,False,False,3.32583928,
7,Sink,-1.525,0.927,4.874,False,False,False,False,2.421197,
8,ShowerDoor,-0.2820804,1.22878945,1.730206,False,False,True,False,1.910888,
9,SinkBasin,-1.5149,0.9866,4.886,True,False,False,False,2.43632984,
10,Countertop,-1.023551,0.9540426,4.88447428,True,False,False,False,2.57721138,
11,Mirror,-0.975537539,1.578,5.14560127,False,False,False,False,2.91676283,
12,Cabinet,-1.962872,0.364145935,4.634251,True,False,True,False,2.200969,
13,Cabinet (1),-1.027802,0.364145935,4.634251,True,False,True,False,2.40583777,
14,Cabinet,-1.05967,0.364145935,4.634252,True,False,True,False,2.39313817,
15,Sink (1),-0.5793,0.927,4.874,False,False,False,False,2.76675963,
16,Window,-1.993,1.88826835,0.14449352,False,False,False,False,2.554175,
17,Candle_2,-3.13404918,0.667317748,3.919932,False,False,False,True,1.83213735,['Bathtub|-02.90|+00.67|+02.86']
