subject,co_occurence,object
BathtubBasin,1,Cloth
Bathtub,1,SoapBar
Sink,1,SoapBottle
Towel,1,TowelHolder
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Bathtub
ToiletPaper,1,Shelf
SoapBottle,1,Sink
Shelf,1,ToiletPaper
Shelf,1,ToiletPaperRoll
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Shelf
Cloth,1,Bathtub
PaperTowelRoll,1,Cart
Cart,1,Candle
Cart,1,PaperTowelRoll
Cart,1,DishSponge
Candle,1,Cart
DishSponge,1,Cart
subject,co_occurence,object
Bathtub,1,Candle
CounterTop,1,SoapBottle
Cabinet,1,SprayBottle
Cabinet,1,TissueBox
Candle,1,Bathtub
SoapBottle,1,CounterTop
HandTowel,1,HandTowelHolder
Towel,1,TowelHolder
TowelHolder,1,Towel
SoapBar,1,Shelf
ToiletPaper,1,Toilet
TissueBox,1,Cabinet
Cloth,1,Shelf
Shelf,1,Cloth
Shelf,1,SoapBar
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Toilet
SprayBottle,1,Cabinet
Toilet,1,ToiletPaperRoll
Toilet,1,ToiletPaper
subject,co_occurence,object
Mirror,1,CounterTop
CounterTop,1,Mirror
CounterTop,1,SoapBottle
CounterTop,1,SoapBar
CounterTop,1,ShowerGlass
Bathtub,1,Candle
Bathtub,1,Cloth
Cabinet,1,PaperTowelRoll
Cabinet,1,DishSponge
ShowerGlass,1,CounterTop
GarbageCan,1,ToiletPaperRoll
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,ToiletPaperHanger
SoapBottle,1,CounterTop
Shelf,1,SprayBottle
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,GarbageCan
Towel,1,TowelHolder
PaperTowelRoll,1,Cabinet
Cloth,1,Bathtub
ToiletPaperHanger,1,ToiletPaper
Candle,1,Bathtub
DishSponge,1,Cabinet
SprayBottle,1,Shelf
subject,co_occurence,object
Candle,1,Shelf
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Shelf
ToiletPaper,1,ToiletPaperHanger
SoapBottle,1,Shelf
ToiletPaperHanger,1,ToiletPaper
TissueBox,1,Shelf
Shelf,1,TissueBox
Shelf,1,Cloth
Shelf,1,SprayBottle
Shelf,1,SoapBar
Shelf,1,SoapBottle
Shelf,1,Candle
Shelf,1,ToiletPaperRoll
HandTowelHolder,1,HandTowel
Cloth,1,Shelf
ToiletPaperRoll,1,Shelf
Towel,1,TowelHolder
SprayBottle,1,Shelf
subject,co_occurence,object
Towel,1,TowelHolder
Cabinet,1,SprayBottle
Cabinet,1,Candle
BathtubBasin,1,Cloth
CounterTop,1,SoapBottle
CounterTop,1,SoapBar
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,Toilet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Toilet
Candle,1,Cabinet
SoapBottle,1,CounterTop
Cloth,1,Bathtub
SprayBottle,1,Cabinet
Toilet,1,ToiletPaper
Toilet,1,ToiletPaperRoll
subject,co_occurence,object
Sink,1,CounterTop
Bathtub,1,SoapBottle
Bathtub,1,Candle
Bathtub,1,Cloth
Bathtub,1,SoapBar
Towel,1,TowelHolder
CounterTop,1,ToiletPaperRoll
CounterTop,1,Sink
Candle,1,Bathtub
Cloth,1,Bathtub
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Bathtub
ToiletPaper,1,Toilet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,CounterTop
SoapBottle,1,Bathtub
SprayBottle,1,Toilet
Toilet,1,ToiletPaper
Toilet,1,SprayBottle
subject,co_occurence,object
Cabinet,1,SprayBottle
CounterTop,1,Cloth
CounterTop,1,ToiletPaper
CounterTop,1,SoapBar
CounterTop,1,SoapBottle
Bathtub,1,Candle
Towel,1,TowelHolder
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,CounterTop
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Toilet
Cloth,1,CounterTop
SprayBottle,1,Cabinet
Candle,1,Bathtub
Toilet,1,ToiletPaperRoll
SoapBottle,1,CounterTop
subject,co_occurence,object
Cabinet,1,SprayBottle
CounterTop,1,SoapBottle
Bathtub,1,Candle
Bathtub,1,SoapBar
Towel,1,TowelHolder
Candle,1,Bathtub
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Bathtub
ToiletPaper,1,Toilet
Cloth,1,Toilet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Toilet
SprayBottle,1,Cabinet
SoapBottle,1,CounterTop
Toilet,1,Cloth
Toilet,1,ToiletPaper
Toilet,1,ToiletPaperRoll
subject,co_occurence,object
GarbageCan,1,ToiletPaperRoll
Sink,1,CounterTop
Sink,1,Sink
Drawer,1,ToiletPaper
CounterTop,1,Cloth
CounterTop,1,SoapBottle
CounterTop,1,Sink
CounterTop,1,SoapBar
CounterTop,1,SprayBottle
SoapBottle,1,CounterTop
HandTowel,1,HandTowelHolder
Towel,1,TowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,Drawer
SinkBasin,1,Sink
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,GarbageCan
Candle,1,Toilet
Cloth,1,CounterTop
Toilet,1,Candle
SprayBottle,1,CounterTop
subject,co_occurence,object
CounterTop,1,SoapBottle
CounterTop,1,ToiletPaperRoll
CounterTop,1,SoapBar
CounterTop,1,SprayBottle
Candle,1,Toilet
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,Toilet
BathtubBasin,1,Cloth
HandTowelHolder,1,HandTowel
Cloth,1,Bathtub
ToiletPaperRoll,1,CounterTop
Towel,1,TowelHolder
SoapBottle,1,CounterTop
Toilet,1,ToiletPaper
Toilet,1,Candle
SprayBottle,1,CounterTop
subject,co_occurence,object
Bathtub,1,Bathtub
CounterTop,1,SoapBottle
CounterTop,1,Cloth
CounterTop,1,Candle
CounterTop,1,ToiletPaper
CounterTop,1,SprayBottle
CounterTop,1,SoapBar
Sink,1,Sink
HandTowel,1,HandTowelHolder
Towel,1,TowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,CounterTop
SinkBasin,1,Sink
BathtubBasin,1,Bathtub
SoapBottle,1,CounterTop
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Toilet
Cloth,1,CounterTop
Candle,1,CounterTop
SprayBottle,1,CounterTop
Toilet,1,ToiletPaperRoll
subject,co_occurence,object
Cabinet,1,SprayBottle
Cabinet,1,Candle
Cabinet,1,SoapBar
Cabinet,1,ToiletPaper
Cabinet,1,ToiletPaperRoll
CounterTop,1,SoapBottle
Towel,1,TowelHolder
Candle,1,Cabinet
Cloth,1,Toilet
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBottle,1,CounterTop
SoapBar,1,Cabinet
ToiletPaper,1,Cabinet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Cabinet
SprayBottle,1,Cabinet
Toilet,1,Cloth
subject,co_occurence,object
Dresser,1,SprayBottle
Dresser,1,Candle
Dresser,1,SoapBar
CounterTop,1,Sink
CounterTop,1,Sink
Towel,1,TowelHolder
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Dresser
ToiletPaper,1,Toilet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,CounterTop
Cloth,1,Toilet
SprayBottle,1,Dresser
Candle,1,Dresser
SinkBasin,1,CounterTop
SinkBasin,1,CounterTop
SoapBottle,1,CounterTop
Toilet,1,Cloth
Toilet,1,ToiletPaper
subject,co_occurence,object
Cabinet,1,CounterTop
Sink,1,CounterTop
Towel,1,TowelHolder
Candle,1,CounterTop
CounterTop,1,SoapBar
CounterTop,1,Sink
CounterTop,1,SoapBottle
CounterTop,1,Cabinet
CounterTop,1,ToiletPaper
CounterTop,1,Candle
CounterTop,1,ToiletPaperRoll
SoapBottle,1,CounterTop
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,CounterTop
Cloth,1,Bathtub
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,CounterTop
SprayBottle,1,Cabinet
PaperTowelRoll,1,Toilet
BathtubBasin,1,Cloth
DishSponge,1,Toilet
Toilet,1,PaperTowelRoll
Toilet,1,DishSponge
subject,co_occurence,object
Bathtub,1,SoapBar
Mirror,1,CounterTop
Shelf,1,Candle
Shelf,1,ToiletPaperRoll
CounterTop,1,Mirror
CounterTop,1,SoapBottle
CounterTop,1,SprayBottle
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,Bathtub
ToiletPaper,1,Toilet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,Shelf
Towel,1,TowelHolder
SoapBottle,1,CounterTop
Cloth,1,Toilet
Candle,1,Shelf
Toilet,1,Cloth
Toilet,1,ToiletPaper
SprayBottle,1,CounterTop
subject,co_occurence,object
CounterTop,1,SoapBottle
HandTowel,1,HandTowelHolder
Towel,1,TowelHolder
TowelHolder,1,Towel
SoapBottle,1,CounterTop
ToiletPaper,1,ToiletPaperHanger
HandTowelHolder,1,HandTowel
ToiletPaperHanger,1,ToiletPaper
Toilet,1,SprayBottle
SprayBottle,1,Toilet
subject,co_occurence,object
Cabinet,1,ToiletPaper
CounterTop,1,SoapBar
CounterTop,1,Candle
CounterTop,1,SoapBottle
Cabinet,1,SprayBottle
Towel,1,TowelHolder
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
GarbageCan,1,ToiletPaperRoll
SoapBar,1,CounterTop
ToiletPaper,1,Cabinet
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,GarbageCan
SoapBottle,1,CounterTop
Candle,1,CounterTop
Cloth,1,Toilet
SprayBottle,1,Cabinet
Toilet,1,Cloth
subject,co_occurence,object
Candle,1,CounterTop
CounterTop,1,SoapBottle
CounterTop,1,SprayBottle
CounterTop,1,Cloth
CounterTop,1,Candle
CounterTop,1,ToiletPaperRoll
CounterTop,1,SoapBar
Cloth,1,CounterTop
HandTowel,1,HandTowelHolder
TowelHolder,1,Towel
SoapBar,1,CounterTop
ToiletPaper,1,GarbageCan
GarbageCan,1,ToiletPaper
HandTowelHolder,1,HandTowel
ToiletPaperRoll,1,CounterTop
Towel,1,TowelHolder
