subject,co_occurence,object
Drawer,1,Spoon
Drawer,1,Fork
Drawer,1,Knife
CounterTop,1,Bowl
CounterTop,1,Tomato
CounterTop,1,Apple
CounterTop,1,Bread
CounterTop,1,CreditCard
CounterTop,1,ButterKnife
CounterTop,1,Pan
CounterTop,1,Kettle
CounterTop,1,PepperShaker
CounterTop,1,Spatula
CounterTop,1,SaltShaker
Cabinet,1,WineBottle
Cabinet,1,Plate
Cabinet,1,Cup
CounterTop,1,Mug
CounterTop,1,Lettuce
CounterTop,1,PaperTowelRoll
CounterTop,1,CoffeeMachine
CounterTop,1,Toaster
CounterTop,1,Pot
CounterTop,1,Potato
CounterTop,1,HousePlant
CounterTop,1,SoapBottle
Glassbottle,1,Shelf
Knife,1,Drawer
Bread,1,CounterTop
Fork,1,Drawer
Shelf,1,Glassbottle
Potato,1,CounterTop
HousePlant,1,CounterTop
Toaster,1,CounterTop
SoapBottle,1,CounterTop
Kettle,1,CounterTop
Shelf,1,Vase
Shelf,1,Vase
Pan,1,CounterTop
Plate,1,Cabinet
Tomato,1,CounterTop
Vase,1,Shelf
Egg,1,Fridge
CreditCard,1,CounterTop
Statue,1,Shelf
Bowl,1,CounterTop
WineBottle,1,Cabinet
Mug,1,CounterTop
Pot,1,CounterTop
Spatula,1,CounterTop
PaperTowelRoll,1,CounterTop
Cup,1,Cabinet
Vase,1,Shelf
Shelf,1,Statue
Fridge,1,Egg
CoffeeMachine,1,CounterTop
SinkBasin,1,DishSponge
SaltShaker,1,CounterTop
PepperShaker,1,CounterTop
Lettuce,1,CounterTop
ButterKnife,1,CounterTop
Apple,1,CounterTop
DishSponge,1,Sink
Spoon,1,Drawer
subject,co_occurence,object
Window,1,CounterTop
Drawer,1,ButterKnife
Cabinet,1,Plate
Cabinet,1,Cup
CounterTop,1,Pot
CounterTop,1,Knife
CounterTop,1,CoffeeMachine
CounterTop,1,Window
CounterTop,1,Pan
CounterTop,1,SoapBottle
CounterTop,1,DishSponge
CounterTop,1,Kettle
CounterTop,1,Window
CounterTop,1,PepperShaker
CounterTop,1,Toaster
CounterTop,1,Spatula
CounterTop,1,SaltShaker
CounterTop,1,Spoon
CounterTop,1,Ladle
CounterTop,1,Fork
Window,1,CounterTop
CounterTop,1,Bowl
CounterTop,1,Mug
CounterTop,1,Egg
CounterTop,1,Tomato
CounterTop,1,CellPhone
CounterTop,1,Potato
CounterTop,1,Bread
SoapBottle,1,CounterTop
Cup,1,Cabinet
Pot,1,CounterTop
Fork,1,CounterTop
Ladle,1,CounterTop
Kettle,1,CounterTop
Mug,1,CounterTop
Egg,1,CounterTop
Bowl,1,CounterTop
Plate,1,Cabinet
Pan,1,CounterTop
Lettuce,1,Fridge
Spatula,1,CounterTop
CoffeeMachine,1,CounterTop
Fridge,1,Lettuce
Fridge,1,Apple
