id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Painting,-2.04899979,1.615132,-0.3036,False,False,False,False,2.7508173,
2,ArmChair (1),-0.78,0.0139999995,6.077,True,False,False,False,5.66630745,
3,SideTable,-3.201731,0.5881582,0.2065555,True,False,False,False,1.552141,
4,TelevisionStand,-2.385267,0.004,6.29658365,True,False,False,False,5.14024925,
5,Chair (3),-1.87209332,-0.00591504574,1.750807,False,False,False,False,2.32731485,
6,Chair (4),-2.48250151,0.003244102,1.74628544,False,False,False,False,1.78112352,
7,Chair (1),-1.41599011,-0.005909115,1.43005681,False,False,False,False,2.73998022,
8,CoffeeTable,-2.318988,0.0034,4.887073,True,False,False,False,3.88673735,
9,Chair (2),-3.03002357,-0.00590932369,1.39595258,False,False,False,False,1.33310628,
10,Chair (5),-1.86193466,-0.00209108,1.13902235,False,False,False,False,2.34951,
11,ArmChair,-4.412,0.0139999995,6.008,True,False,False,False,4.6131897,
12,Curtains,-0.08341706,2.420698,0.9696214,False,False,False,False,4.23383665,['TableTop|-00.24|+00.00|+03.37']
13,Laptop_1,-1.69864607,0.6808196,1.65939677,False,True,True,True,2.31750917,['TableTop|-02.27|-00.02|+01.42']
14,DecorativeBox1,-2.26605558,0.5967225,4.80876541,True,False,False,True,3.74807787,['TableTop|-02.32|+00.00|+04.89']
15,Television_1,-2.357,1.21,6.283,False,False,False,False,5.06665564,['TableTop|-02.39|+00.00|+06.30']
16,LongEndTable,-2.114,0.005,-0.14,True,False,False,False,2.65563226,
17,EndTable,-0.238,0.0001,3.369,True,False,False,False,4.29655838,
18,Houseplant_1,-3.0157,0.5909,-0.0233,False,False,False,False,1.84023952,['TableTop|-03.20|+00.59|+00.21']
19,Drawer,-2.114,0.6574466,-0.0694921538,True,False,True,False,2.4658525,
20,Tissue_Box_1,-2.744,0.7147634,6.131,False,False,False,True,4.801979,['TableTop|-02.39|+00.00|+06.30']
21,CreditCard_1,-1.936,0.681,1.8,False,False,False,True,2.09743381,['TableTop|-02.27|-00.02|+01.42']
22,Sofa,-2.404,-0.066,3.417,True,False,False,False,2.67589259,
23,Keychain_1,-0.272907078,0.699363232,3.1280663,False,False,False,True,4.07224131,['TableTop|-00.24|+00.00|+03.37']
24,bin_1,-4.868,0.00165782869,0.267,True,False,False,False,1.75656259,
25,Floor_Lamp_1,-0.567446351,0.00165782869,0.0252254,False,True,False,False,3.84306955,
26,Vase_4,-0.2650639,0.698675632,3.41421771,False,False,False,True,4.20185471,['TableTop|-00.24|+00.00|+03.37']
27,Desk_Lamp_11,-0.2812133,0.698675632,3.612,False,True,False,False,4.28153324,['TableTop|-00.24|+00.00|+03.37']
28,Chair,-2.49495244,-0.006040275,1.10577083,False,False,False,False,1.80175328,
29,Pencil_5,-2.83170867,0.6855471,1.5100162,False,False,False,True,1.18833566,['TableTop|-02.27|-00.02|+01.42']
30,pillow_1,-3.271,0.661,3.44,False,False,False,True,2.08648968,['Sofa|-02.40|-00.07|+03.42']
31,Drawer,-0.301500022,0.6243013,3.369,True,False,True,False,4.153257,
32,LongTable,-2.269,-0.0158369988,1.423,True,False,False,False,1.96110189,
33,Remote_1,-2.58299,0.7380217,-0.1459975,False,False,False,True,2.17814827,['TableTop|-02.11|+00.01|-00.14']
34,Watch_1,-2.10165644,0.736552,-0.0576787181,False,False,False,True,2.46123171,['TableTop|-02.11|+00.01|-00.14']
35,Open_Book_2,-2.85874915,0.6874144,1.68284321,False,False,False,True,1.17567611,['TableTop|-02.27|-00.02|+01.42']
36,Pen_1,-2.99903083,0.686464369,1.46354318,False,False,False,True,1.02469873,['TableTop|-02.27|-00.02|+01.42']
37,Newspaper_1,-2.75920224,0.6885978,1.17735636,False,False,False,True,1.29980731,['TableTop|-02.27|-00.02|+01.42']
38,WindowLarge (1),-0.057,0.925,1.764,False,False,False,False,3.95189142,
39,WindowLarge,-0.057,1.13001847,4.886,False,False,False,False,5.2023015,
40,Statue_Waving_Man_2,-1.76378977,0.7363218,-0.130165085,False,False,False,True,2.77231717,['TableTop|-02.11|+00.01|-00.14']
41,LightSwitch1,-3.306,1.341,-0.315,False,True,False,False,1.99198544,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Painting,-3.05,1.690066,4.341034,False,False,False,False,3.72001481,
2,Table,-1.567,0.004,3.869,True,False,False,False,2.53640318,
3,Curtains,-3.97399974,2.25499988,1.454,False,False,False,False,3.74025154,
4,ArmChair,-3.075,0.472564578,0.373,True,False,False,False,2.95133018,
5,CoffeeTable,-1.735,0.003,2.361,True,False,False,False,1.64469838,
6,Sofa,-1.161,4.67896461e-05,0.452,True,False,False,False,1.71275342,
7,Painting,-1.09600008,1.77399993,-0.017,False,False,False,False,2.05901766,
8,Table,0.627,0.002,0.34,True,False,False,False,2.0165596,
9,LightSwitch2,-0.13,1.408,4.349,False,True,False,False,2.67370582,
10,bin_2,-0.377,4.67896461e-05,4.104,True,False,False,False,2.523538,
11,Television_2,-1.506,1.189,4.126,False,False,False,False,2.59621429,['TableTop|-01.57|+00.00|+03.87']
12,Houseplant_2,-2.015,0.440838665,2.358,False,False,False,False,1.69607782,['TableTop|-01.74|+00.00|+02.36']
13,Laptop_2,-3.217,0.5463181,0.582,False,True,True,True,2.97861457,['ArmChair|-03.08|+00.47|+00.37']
14,Keychain_1,-1.0079931,0.70427984,3.530013,False,False,False,True,1.86151028,['TableTop|-01.57|+00.00|+03.87']
15,pillow_2,-0.506,0.664,0.431,False,False,False,True,1.34014475,['Sofa|-01.16|+00.00|+00.45']
16,Statue_Waving_Man_1,0.85866,0.710885,0.327783257,False,False,False,True,1.97606146,['TableTop|+00.63|+00.00|+00.34']
17,DecorativeBox2,0.345294118,0.7108449,0.3862291,True,False,False,True,1.61572576,['TableTop|+00.63|+00.00|+00.34']
18,Floor_Lamp_2,-3.687,4.67896461e-05,4.014,False,True,False,False,4.01179075,
19,Remote_2,-1.27384853,0.4415876,2.152707,False,False,False,True,0.9859597,['TableTop|-01.74|+00.00|+02.36']
20,CreditCard_2,-2.104,0.440838665,2.581,False,False,False,True,1.86418033,['TableTop|-01.74|+00.00|+02.36']
21,Watch_1,-1.22002482,0.703736246,3.469974,False,False,False,True,1.875014,['TableTop|-01.57|+00.00|+03.87']
22,WindowLarge,-4.051,1.198,1.312,False,False,False,False,3.59021282,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Drawer,-1.03000021,0.7816065,0.238922819,True,False,True,False,3.19407964,
2,Chair,-3.9049983,0.0156712234,-0.827006757,False,False,False,False,3.79586124,
3,LongTable,-4.295,0.006054215,-0.379,True,False,False,False,3.50420666,
4,Chair (5),-3.42500043,0.0156722963,-0.3210047,False,False,False,False,3.22587276,
5,Sofa,-1.527,0.018,2.559,True,False,False,False,1.73107648,
6,Drawer (2),0.5972012,0.0651,2.605,True,False,True,False,3.697265,
7,Drawer (5),0.214799985,0.06510004,2.605,True,False,True,False,3.32638669,
8,Chair (1),-4.573001,0.0156717,-0.8270025,False,False,False,False,4.007972,
9,Ottoman,0.494,0.002,4.309,True,False,False,False,3.93162036,
10,Drawer (4),0.214799687,0.3852838,2.605,True,False,True,False,3.26009274,
11,Chair (3),-4.664999,0.0156691968,0.164998263,False,False,False,False,3.201409,
12,Chair (4),-3.99700046,0.0156711638,0.09199695,False,False,False,False,2.97549176,
13,ArmChair,0.42,-0.0026,5.129,True,False,False,False,4.264213,
14,Drawer,0.597201169,0.3852838,2.605,True,False,True,False,3.637736,
15,Drawer (3),0.214799687,0.226199955,2.605,True,False,True,False,3.28930426,
16,Painting,-6.5,1.759849,-0.3415181,False,False,False,False,4.74707747,
17,EndTable,-1.03,0.006054215,0.161,True,False,False,False,3.37574,
18,CoffeeTable,0.406,0.011,2.605,True,False,False,False,3.524879,
19,Drawer (1),0.5972012,0.226200014,2.605,True,False,True,False,3.66393828,
20,Chair (2),-4.98600531,0.0156773031,-0.405003965,False,False,False,False,3.8331213,
21,Painting,0.704773068,1.77890623,0.782252431,False,False,False,False,4.28456545,
22,pillow_3,0.438,0.581,5.162,False,False,False,True,4.212351,['ArmChair|+00.42|00.00|+05.13']
23,Watering_Can_1,-0.8161158,0.005194366,0.18929626,False,False,False,True,3.48423648,
24,Tissue_Box_1,-0.9939826,0.8740145,0.236617029,False,False,False,True,3.21594334,['TableTop|-01.03|+00.01|+00.16']
25,Television_3,1.5,1.691,2.562,False,False,False,False,4.571643,
26,Newspaper_4,0.424978942,0.418807924,4.301363,False,False,False,True,3.79151559,['Ottoman|+00.49|+00.00|+04.31']
27,CreditCard_1,-1.195,0.8740145,0.205,False,False,False,True,3.120279,['TableTop|-01.03|+00.01|+00.16']
