subject,co_occurence,object
TableTop,1,HousePlant
TableTop,1,Television
TableTop,1,TissueBox
TableTop,1,Box
Curtains,1,TableTop
Laptop,1,TableTop
Box,1,TableTop
Television,1,TableTop
TableTop,1,RemoteControl
TableTop,1,Statue
TableTop,1,Watch
TableTop,1,Vase
TableTop,1,KeyChain
TableTop,1,Lamp
TableTop,1,Curtains
HousePlant,1,TableTop
TissueBox,1,TableTop
CreditCard,1,TableTop
Sofa,1,Pillow
KeyChain,1,TableTop
Vase,1,TableTop
Lamp,1,TableTop
Pencil,1,TableTop
Pillow,1,Sofa
TableTop,1,Newspaper
TableTop,1,Pencil
TableTop,1,Book
TableTop,1,Pen
TableTop,1,Laptop
TableTop,1,CreditCard
RemoteControl,1,TableTop
Watch,1,TableTop
Book,1,TableTop
Pen,1,TableTop
Newspaper,1,TableTop
Statue,1,TableTop
subject,co_occurence,object
TableTop,1,Watch
TableTop,1,KeyChain
TableTop,1,Television
ArmChair,1,Laptop
TableTop,1,CreditCard
TableTop,1,HousePlant
TableTop,1,RemoteControl
Sofa,1,Pillow
TableTop,1,Box
TableTop,1,Statue
Television,1,TableTop
HousePlant,1,TableTop
Laptop,1,ArmChair
KeyChain,1,TableTop
Pillow,1,Sofa
Statue,1,TableTop
Box,1,TableTop
RemoteControl,1,TableTop
CreditCard,1,TableTop
Watch,1,TableTop
subject,co_occurence,object
TableTop,1,Book
TableTop,1,Pencil
TableTop,1,CellPhone
Sofa,1,RemoteControl
Ottoman,1,Newspaper
ArmChair,1,KeyChain
ArmChair,1,Pillow
TableTop,1,HousePlant
TableTop,1,CreditCard
TableTop,1,TissueBox
TableTop,1,Box
TableTop,1,Watch
TableTop,1,Laptop
Pillow,1,ArmChair
TissueBox,1,TableTop
Newspaper,1,Ottoman
CreditCard,1,TableTop
KeyChain,1,ArmChair
Pencil,1,TableTop
Laptop,1,TableTop
Box,1,TableTop
RemoteControl,1,Sofa
Watch,1,TableTop
CellPhone,1,TableTop
HousePlant,1,TableTop
Book,1,TableTop
subject,co_occurence,object
Shelf,1,Statue
Shelf,1,Statue
TableTop,1,Box
TableTop,1,Statue
TableTop,1,CellPhone
Shelf,1,Vase
Desk,1,KeyChain
Desk,1,Laptop
Desk,1,Lamp
Desk,1,CreditCard
TableTop,1,Television
TableTop,1,RemoteControl
Sofa,1,Pillow
Shelf,1,Vase
Shelf,1,Vase
