id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,GasBurner (1),-0.0361,0.9151,-2.3722,True,False,False,False,0.8214225,
2,Drawer (4),0.95,0.8328,-2.197,True,False,True,False,0.637934268,
3,Drawer (8),-1.561,0.8396,0.2045,True,False,True,False,2.84104919,
4,GasBurner (3),-0.4652,0.9151,-2.372,True,False,False,False,1.14834392,
5,Drawer (7),-1.561,0.8396,-0.1971,True,False,True,False,2.58127666,
6,CounterTop_Physics,-0.079,1.1471,-0.001,True,False,False,False,1.85871124,
7,StoveKnob (1),-0.180900007,0.8814,-2.1876,False,False,False,False,0.8096311,
8,Cabinet,-1.55,0.494999975,-1.96499991,True,False,True,False,2.10084748,
9,CounterTop_Physics (1),0.693,0.9462,-2.484,True,False,False,False,0.760294735,
10,GasBurner,-0.0361,0.9151,-2.5762,True,False,False,False,0.9849916,
11,Drawer (2),0.95,0.394,-2.201,True,False,True,False,0.8142169,
12,Drawer (3),0.95,0.7081,-2.2002,True,False,True,False,0.6651242,
13,StoveKnob (2),-0.326,0.8814,-2.1876,False,False,False,False,0.9349619,
14,Cabinet,-1.55,0.494999975,0.38,True,False,True,False,2.98399663,
15,StoveKnob,-0.0220000148,0.8814,-2.1876,False,False,False,False,0.681441,
16,Drawer,0.95,0.56,-2.2011,True,False,True,False,0.7226837,
17,GasBurner (2),-0.4652,0.9151,-2.576,True,False,False,False,1.2704668,
18,Window,-2.23,1.43,-1.204,False,False,False,False,2.83387685,
19,StoveKnob (3),-0.4804,0.8814,-2.1876,False,False,False,False,1.07380724,
20,Sink,-1.9,0.965,-1.5,False,False,False,False,2.41383433,
21,Cabinet (1),-0.7278,2.015,-2.46,True,False,True,False,1.8034941,
22,Drawer (5),-1.5604,0.6552,-0.197,True,False,True,False,2.591809,
23,Cabinet,-1.6853,2.015,-2.4616,True,False,True,False,2.55399847,
24,Cabinet,0.68,0.494999975,-2.2,True,False,True,False,0.6322463,
25,Cabinet,-1.18,0.494999975,-2.2,True,False,True,False,1.785983,
26,Cabinet,-1.8499999,2.015,0.38,True,False,True,False,3.36160636,
27,Drawer (1),0.95,0.221,-2.201,True,False,True,False,0.931826055,
28,Cabinet,0.719999969,2.015,-2.46,True,False,True,False,1.3392154,
29,Drawer (6),-1.5604,0.331,-0.197,True,False,True,False,2.64233923,
30,Cabinet,0.68,2.015,-2.46,True,False,True,False,1.33322847,
31,CounterTop_Physics (1),-1.868,0.9469,-1.206,True,False,False,False,2.43011665,
32,Chair_4,0.6651435,0.726663351,0.566275358,False,False,False,False,2.32868981,
33,Bottle_1,1.573,0.871,-2.553,False,False,False,True,1.34053636,['Shelf|+01.80|+00.87|-02.56']
34,Knife_1,-1.68350029,0.7909155,-0.241200075,False,False,False,True,2.656364,['Drawer|-01.56|+00.84|-00.20']
35,Microwave_1,-0.237,1.689,-2.5251,True,False,True,False,1.32849324,
36,bread_1,-0.5223836,1.170449,-0.02827997,False,False,False,True,2.0204432,['CounterTop|-00.08|+01.15|00.00']
37,Fork_1,0.949,0.7665,-2.3557,False,False,False,True,0.7658743,['Drawer|+00.95|+00.83|-02.20']
38,Shelf (2),1.804,0.8699999,-2.5636,True,False,False,False,1.53731,
39,Potato_1,-1.6557,0.9245,-2.1506,False,False,False,True,2.19273233,['CounterTop|-01.87|+00.95|-01.21']
40,Houseplant_1,-0.926,0.9,-2.578,False,False,False,False,1.64895761,['CounterTop|-01.87|+00.95|-01.21']
41,toaster_1,-1.844,0.900000453,0.127,False,False,False,False,3.00290942,['CounterTop|-01.87|+00.95|-01.21']
42,Soap_Bottle_1,-1.99149311,0.9,-2.03231072,False,False,False,True,2.50743675,['CounterTop|-01.87|+00.95|-01.21']
